news_headline,news_article,news_category,full_text,clean_text
Asian Cup hosts UAE fined ₹1 crore for fans targeting Qatar,"Asian Cup hosts UAE have been fined $150,000 (₹1 crore) for fan misconduct during the team's semi-final loss to Qatar. Some spectators threw shoes at Qatar players after their second goal in a 4-0 victory over UAE at Mohammed bin Zayed Stadium on January 29. Incidents of misconduct also included fans ""making insulting sounds"" during Qatar’s national anthem.",sports,"Asian Cup hosts UAE fined ₹1 crore for fans targeting Qatar. Asian Cup hosts UAE have been fined $150,000 (₹1 crore) for fan misconduct during the team's semi-final loss to Qatar. Some spectators threw shoes at Qatar players after their second goal in a 4-0 victory over UAE at Mohammed bin Zayed Stadium on January 29. Incidents of misconduct also included fans ""making insulting sounds"" during Qatar’s national anthem.",asian cup host uae fin crore fan target qatar asian cup host uae fin crore fan misconduct team semi final loss qatar spectator throw shoe qatar player second goal victory uae mohammed bin zayed stadium january incident misconduct also include fan make insult sound qatar national anthem
B'deshi spinner Mosharraf Hossain diagnosed with brain tumour,"Spinner Mosharraf Hossain, who has played five ODIs for Bangladesh and plays for Comilla Victorians in the Bangladesh Premier League, has been diagnosed with brain tumour. The 37-year-old Dhaka-born cricketer was advised to undergo a thorough medical check-up after he fainted during the Bangladesh Premier League this year. Mosharraf will undergo treatment in Singapore.",sports,"B'deshi spinner Mosharraf Hossain diagnosed with brain tumour. Spinner Mosharraf Hossain, who has played five ODIs for Bangladesh and plays for Comilla Victorians in the Bangladesh Premier League, has been diagnosed with brain tumour. The 37-year-old Dhaka-born cricketer was advised to undergo a thorough medical check-up after he fainted during the Bangladesh Premier League this year. Mosharraf will undergo treatment in Singapore.",bdeshi spinner mosharraf hossain diagnose brain tumour spinner mosharraf hossain play five odi bangladesh play comilla victorian bangladesh premier league diagnose brain tumour year old dhaka bear cricketer advise undergo thorough medical check faint bangladesh premier league year mosharraf undergo treatment singapore
Team denied 'goal' as ball gets stuck in snow 0.3 m away from line,Hannover midfielder Genki Haraguchi was denied a certain goal against Bayer Leverkusen in Bundesliga after his shot on target stopped just 0.3 metre away from the line due to snow. Hannover were trailing 0-2 when the Japanese international rounded the goalkeeper and hit the shot in 33rd minute. A Bayer Leverkusen defender quickly ran towards the ball and cleared it.,sports,Team denied 'goal' as ball gets stuck in snow 0.3 m away from line. Hannover midfielder Genki Haraguchi was denied a certain goal against Bayer Leverkusen in Bundesliga after his shot on target stopped just 0.3 metre away from the line due to snow. Hannover were trailing 0-2 when the Japanese international rounded the goalkeeper and hit the shot in 33rd minute. A Bayer Leverkusen defender quickly ran towards the ball and cleared it.,team deny goal ball get stick snow away line hannover midfielder genki haraguchi deny certain goal bayer leverkusen bundesliga shot target stop metre away line due snow hannover trail japanese international round goalkeeper hit shot rd minute bayer leverkusen defender quickly run towards ball clear
Zidane returns as Real Madrid manager 10 months after leaving team,"Zinedine Zidane has been reappointed as Real Madrid manager, nearly 10 months after leaving the club. The Frenchman replaces Santiago Solari, who has been sacked after the three-time defending Champions League champions crashed out of the tournament. Zidane had led Real Madrid to one La Liga title, one Spanish Super Cup and three Champions League titles in his first stint.",sports,"Zidane returns as Real Madrid manager 10 months after leaving team. Zinedine Zidane has been reappointed as Real Madrid manager, nearly 10 months after leaving the club. The Frenchman replaces Santiago Solari, who has been sacked after the three-time defending Champions League champions crashed out of the tournament. Zidane had led Real Madrid to one La Liga title, one Spanish Super Cup and three Champions League titles in his first stint.",zidane return real madrid manager month leave team zinedine zidane reappoint real madrid manager nearly month leave club frenchman replace santiago solari sack three time defend champion league champion crash tournament zidane lead real madrid one la liga title one spanish super cup three champion league title first stint
One of India's most listless displays: Kaif on India's loss,"Reacting to India's loss in the 4th ODI against Australia, part of Mohammad Kaif's tweet read, ""One of India's most listless display[s] with the ball and in the field in recent times. Dropping absolute sitters."" Other users reacted with tweets like, ""A Turner has arrived !! Swashbuckling innings !!"" and ""2-2 bring on WEDNESDAY!""",sports,"One of India's most listless displays: Kaif on India's loss. Reacting to India's loss in the 4th ODI against Australia, part of Mohammad Kaif's tweet read, ""One of India's most listless display[s] with the ball and in the field in recent times. Dropping absolute sitters."" Other users reacted with tweets like, ""A Turner has arrived !! Swashbuckling innings !!"" and ""2-2 bring on WEDNESDAY!""",one india listless display kaif indias loss react indias loss th odi australia part mohammad kaif tweet read one india listless display[ ] ball field recent time drop absolute sitter user react tweet like turner arrive swashbuckl inning bring wednesday
Kuldeep has Shane Warne-like drift: Matthew Hayden,"Speaking about leg-spinners, former Australian batsman Matthew Hayden said, ""[I]f you look at Kuldeep, his strength is not how far he turns the ball but his strength is how the ball just like Shane Warne's deliveries arrives at the batsman."" ""Chahal is a different bowler. He is very stump-to-stump. He bowls much flatter and straighter,"" Hayden said.",sports,"Kuldeep has Shane Warne-like drift: Matthew Hayden. Speaking about leg-spinners, former Australian batsman Matthew Hayden said, ""[I]f you look at Kuldeep, his strength is not how far he turns the ball but his strength is how the ball just like Shane Warne's deliveries arrives at the batsman."" ""Chahal is a different bowler. He is very stump-to-stump. He bowls much flatter and straighter,"" Hayden said.",kuldeep shane warne like drift matthew hayden speak leg spinner former australian batsman matthew hayden say [ ] f look kuldeep strength not far turn ball strength ball like shane warne delivery arrive batsman chahal different bowler stump stump bowl much flat straight hayden say
Handscomb Australia's best player of spin after Smith: Hodge,"Former Australian cricketer Brad Hodge has said that Peter Handscomb is Australia's best player of spin bowling after the former captain Steve Smith. ""His technique was a big talking point in the Australian summer, only because it actually doesn't look fashionable... Handscomb goes about his work in a completely different manner,"" Hodge said.",sports,"Handscomb Australia's best player of spin after Smith: Hodge. Former Australian cricketer Brad Hodge has said that Peter Handscomb is Australia's best player of spin bowling after the former captain Steve Smith. ""His technique was a big talking point in the Australian summer, only because it actually doesn't look fashionable... Handscomb goes about his work in a completely different manner,"" Hodge said.",handscomb australia good player spin smith hodge former australian cricketer brad hodge say peter handscomb australias good player spin bowling former captain steve smith technique big talking point australian summer actually not look fashionable handscomb go work completely different manner hodge say
Fan who hit Aston Villa player during match given 14-week jail,"Paul Mitchell, a Birmingham supporter, has been sentenced to 14 weeks in prison and given a 10-year football banning order for assaulting Aston Villa captain Jack Grealish during a League Championship match on Sunday. Mitchell's lawyer had earlier claimed that his client's intention was to ""just go onto the pitch and whip up the crowd"".",sports,"Fan who hit Aston Villa player during match given 14-week jail. Paul Mitchell, a Birmingham supporter, has been sentenced to 14 weeks in prison and given a 10-year football banning order for assaulting Aston Villa captain Jack Grealish during a League Championship match on Sunday. Mitchell's lawyer had earlier claimed that his client's intention was to ""just go onto the pitch and whip up the crowd"".",fan hit aston villa player match give week jail paul mitchell birmingham supporter sentence week prison give year football ban order assault aston villa captain jack grealish league championship match sunday mitchell lawyer earlier claim client intention go onto pitch whip crowd
Man Utd suffer their 1st PL defeat under Ole Solskjaer,"Arsenal inflicted Manchester United with their first Premier League defeat under coach Ole Gunnar Solskjaer after registering a 2-0 win at the Emirates Stadium on Sunday. With the win, Arsenal have leapfrogged over Manchester United and are now one point behind third-placed Tottenham. United will face Wolves in the FA Cup, while Arsenal will face Rennes in the Europa League.",sports,"Man Utd suffer their 1st PL defeat under Ole Solskjaer. Arsenal inflicted Manchester United with their first Premier League defeat under coach Ole Gunnar Solskjaer after registering a 2-0 win at the Emirates Stadium on Sunday. With the win, Arsenal have leapfrogged over Manchester United and are now one point behind third-placed Tottenham. United will face Wolves in the FA Cup, while Arsenal will face Rennes in the Europa League.",man utd suffer st pl defeat ole solskjaer arsenal inflict manchester unite first premier league defeat coach ole gunnar solskjaer register win emirate stadium sunday win arsenal leapfrog manchester unite one point behind third place tottenham united face wolf fa cup arsenal face renne europa league
Serena Williams retires ill at Indian Wells,"Former world number one Serena Williams retired from her third-round match at Indian Wells while trailing 6-3, 1-0 against Garbine Muguruza. Serena, who has twice won the title at Indian Wells in the past, later said, ""Before the match, I did not feel great and then it just got worse with every second, extreme dizziness and extreme fatigue.""",sports,"Serena Williams retires ill at Indian Wells. Former world number one Serena Williams retired from her third-round match at Indian Wells while trailing 6-3, 1-0 against Garbine Muguruza. Serena, who has twice won the title at Indian Wells in the past, later said, ""Before the match, I did not feel great and then it just got worse with every second, extreme dizziness and extreme fatigue.""",serena william retire ill indian well former world number one serena william retire third round match indian well trail garbine muguruza serena twice win title indian well past later say match not feel great get bad every second extreme dizziness extreme fatigue
Benzema scores brace in Real Madrid's 4-1 win over Valladolid,"Frenchman Karim Benzema scored twice in Real Madrid's 4-1 win over Valladolid in the La Liga on Sunday. The other scorers for Madrid were Luka Modric and French defender Raphael Varane. Brazilian midfielder Casemiro was handed a red card in the 80th minute. Notably, this was Real Madrid's fifth consecutive win in an away game in the La Liga.",sports,"Benzema scores brace in Real Madrid's 4-1 win over Valladolid. Frenchman Karim Benzema scored twice in Real Madrid's 4-1 win over Valladolid in the La Liga on Sunday. The other scorers for Madrid were Luka Modric and French defender Raphael Varane. Brazilian midfielder Casemiro was handed a red card in the 80th minute. Notably, this was Real Madrid's fifth consecutive win in an away game in the La Liga.",benzema score brace real madrid win valladolid frenchman karim benzema score twice real madrid win valladolid la liga sunday scorer madrid luka modric french defender raphael varane brazilian midfielder casemiro hand red card th minute notably real madrid fifth consecutive win away game la liga
"Bajrang, Ajay honoured with Padma Awards by President Kovind","President Ram Nath Kovind on Monday conferred Padma Awards to nine sports personalities including wrestler Bajrang Punia, Indian kabaddi team captain Ajay Thakur, former cricketer Gautam Gambhir, Indian football captain Sunil Chhetri, and basketball player Prashanti Singh. Bajrang is a World Championship silver and bronze medallist, who also won gold at Asian Games and Commonwealth Games in 2018.",sports,"Bajrang, Ajay honoured with Padma Awards by President Kovind. President Ram Nath Kovind on Monday conferred Padma Awards to nine sports personalities including wrestler Bajrang Punia, Indian kabaddi team captain Ajay Thakur, former cricketer Gautam Gambhir, Indian football captain Sunil Chhetri, and basketball player Prashanti Singh. Bajrang is a World Championship silver and bronze medallist, who also won gold at Asian Games and Commonwealth Games in 2018.",bajrang ajay honour padma award president kovind president ram nath kovind monday confer padma award nine sport personality include wrestler bajrang punia indian kabaddi team captain ajay thakur former cricketer gautam gambhir indian football captain sunil chhetri basketball player prashanti singh bajrang world championship silver bronze medallist also win gold asian game commonwealth game
Ross Taylor surpasses Martin Crowe with double hundred,"New Zealand's Ross Taylor surpassed compatriot Martin Crowe as the player with the second-most number of Test tons for New Zealand after scoring a double ton against Bangladesh in the second Test between the nations. Taylor scored his 18th Test ton and his third double ton with the innings. Notably, the 35-year-old Taylor brought up his century with a six.",sports,"Ross Taylor surpasses Martin Crowe with double hundred. New Zealand's Ross Taylor surpassed compatriot Martin Crowe as the player with the second-most number of Test tons for New Zealand after scoring a double ton against Bangladesh in the second Test between the nations. Taylor scored his 18th Test ton and his third double ton with the innings. Notably, the 35-year-old Taylor brought up his century with a six.",ross taylor surpass martin crowe double hundred new zealand ross taylor surpass compatriot martin crowe player second number test ton new zealand score double ton bangladesh second test nation taylor score th test ton third double ton inning notably year old taylor bring century six
Former New Zealand cricketer Parore fined for drunk driving,Former New Zealand wicketkeeper-batsman Adam Parore has been handed a $500 fine and a disqualification from driving for six months after he pleaded guilty to drunk driving charges in Auckland. The 48-year-old Parore was reportedly caught driving under the influence of alcohol and failed a breathalyser test with a blood alcohol level of 100 milligrams per 100 millilitres of blood.,sports,Former New Zealand cricketer Parore fined for drunk driving. Former New Zealand wicketkeeper-batsman Adam Parore has been handed a $500 fine and a disqualification from driving for six months after he pleaded guilty to drunk driving charges in Auckland. The 48-year-old Parore was reportedly caught driving under the influence of alcohol and failed a breathalyser test with a blood alcohol level of 100 milligrams per 100 millilitres of blood.,former new zealand cricketer parore fin drunk driving former new zealand wicketkeeper batsman adam parore hand fine disqualification drive six month plead guilty drunk driving charge auckland year old parore reportedly catch drive influence alcohol fail breathalyser test blood alcohol level milligram per millilitre blood
IAAF maintains ban on Russian athletics over doping scandal,World athletics governing body IAAF said on Monday that it had decided not to lift its ban on Russia's athletics federation over doping. Russian Athletics Federation (RusAF) has been suspended since 2015 following a World Anti-Doping Agency (WADA) report that found evidence of widespread and systematic doping in the sport.,sports,IAAF maintains ban on Russian athletics over doping scandal. World athletics governing body IAAF said on Monday that it had decided not to lift its ban on Russia's athletics federation over doping. Russian Athletics Federation (RusAF) has been suspended since 2015 following a World Anti-Doping Agency (WADA) report that found evidence of widespread and systematic doping in the sport.,iaaf maintain ban russian athletic dope scandal world athletic govern body iaaf say monday decide not lift ban russia athletic federation dope russian athletic federation rusaf suspend since follow world anti dope agency wada report find evidence widespread systematic doping sport
Mistake in reading conditions led to consecutive losses: Dhawan,"Indian opener Shikhar Dhawan has said the Indian team read the conditions incorrectly that led to the consecutive losses against Australia in the ongoing ODI series. ""We had expected dew would be a factor in the last game and it didn't come and here, we didn't expect dew in this game and it came very heavily,"" Dhawan revealed.",sports,"Mistake in reading conditions led to consecutive losses: Dhawan. Indian opener Shikhar Dhawan has said the Indian team read the conditions incorrectly that led to the consecutive losses against Australia in the ongoing ODI series. ""We had expected dew would be a factor in the last game and it didn't come and here, we didn't expect dew in this game and it came very heavily,"" Dhawan revealed.",mistake read condition lead consecutive loss dhawan indian opener shikhar dhawan say indian team read condition incorrectly lead consecutive loss australia ongoing odi series expect dew would factor last game not come not expect dew game come heavily dhawan reveal
Kenya-bound Ethiopian Airlines flight with 157 on board crashes,An Ethiopian Airlines flight from Addis Ababa to Kenya's capital Nairobi crashed early on Sunday with 149 passengers and eight crew members on board. The Ethiopian Prime Minister's office expressed condolences to the bereaved families hinting at a number of deaths. The location and cause of the crash is yet to be ascertained.,world,Kenya-bound Ethiopian Airlines flight with 157 on board crashes. An Ethiopian Airlines flight from Addis Ababa to Kenya's capital Nairobi crashed early on Sunday with 149 passengers and eight crew members on board. The Ethiopian Prime Minister's office expressed condolences to the bereaved families hinting at a number of deaths. The location and cause of the crash is yet to be ascertained.,kenya bind ethiopian airline flight board crash ethiopian airline flight addis ababa kenyas capital nairobi crash early sunday passenger eight crew member board ethiopian prime minister office express condolence bereave family hint number death location crash yet ascertain
All 157 people on board Ethiopian Airlines flight die in crash,"All 157 people on board Ethiopian Airlines' Kenya-bound flight ET 302 died in a crash on Sunday, the state broadcaster said. The flight carrying 149 passengers and eight crew members took off at 8:38 am local time from Addis Ababa, Bole International Airport and lost contact at 8:44 am. The flight was involved in an accident around Ethiopia's Bishoftu.",world,"All 157 people on board Ethiopian Airlines flight die in crash. All 157 people on board Ethiopian Airlines' Kenya-bound flight ET 302 died in a crash on Sunday, the state broadcaster said. The flight carrying 149 passengers and eight crew members took off at 8:38 am local time from Addis Ababa, Bole International Airport and lost contact at 8:44 am. The flight was involved in an accident around Ethiopia's Bishoftu.",people board ethiopian airline flight die crash people board ethiopian airline kenya bind flight et die crash sunday state broadcaster say flight carry passenger eight crew member take local time addis ababa bole international airport lose contact flight involve accident around ethiopia bishoftu
Four Indians among 157 killed in Ethiopian Airlines crash,"Four Indians were aboard the Ethiopian Airlines Kenya-bound flight that crashed on Sunday killing all 157 people on board, the airline's Group CEO Tewolde GebreMariam confirmed. The victims were of 35 nationalities, with the highest number of Kenyans at 32, followed by 18 Canadians and nine Ethiopians. ""It's too early to speculate the cause of the accident,"" GebreMariam said.",world,"Four Indians among 157 killed in Ethiopian Airlines crash. Four Indians were aboard the Ethiopian Airlines Kenya-bound flight that crashed on Sunday killing all 157 people on board, the airline's Group CEO Tewolde GebreMariam confirmed. The victims were of 35 nationalities, with the highest number of Kenyans at 32, followed by 18 Canadians and nine Ethiopians. ""It's too early to speculate the cause of the accident,"" GebreMariam said.",four indian among kill ethiopian airline crash four indian aboard ethiopian airline kenya bind flight crash sunday kill people board airline group ceo tewolde gebremariam confirm victim nationality high number kenyan follow canadian nine ethiopian early speculate accident gebremariam say
"Pilot reported difficulties, wanted to turn back: Ethiopian Airlines","The pilot of the Kenya-bound flight ET 302, which crashed on Sunday killing all 157 people on board, had alerted the controllers ""he had difficulties"", Ethiopian Airlines Group CEO Tewolde GebreMariam said. The pilot wanted to turn back the plane and was given clearance to return. The flight lost contact within six minutes of take off from Addis Ababa. ",world,"Pilot reported difficulties, wanted to turn back: Ethiopian Airlines. The pilot of the Kenya-bound flight ET 302, which crashed on Sunday killing all 157 people on board, had alerted the controllers ""he had difficulties"", Ethiopian Airlines Group CEO Tewolde GebreMariam said. The pilot wanted to turn back the plane and was given clearance to return. The flight lost contact within six minutes of take off from Addis Ababa. ",pilot report difficulty want turn back ethiopian airline pilot kenya bind flight et crash sunday kill people board alert controller difficulty ethiopian airline group ceo tewolde gebremariam say pilot want turn back plane give clearance return flight lose contact within six minute take addis ababa
I called Apple CEO 'Tim Apple' to save time and words: Trump,"US President Donald Trump on Monday defended himself for mistakenly referring to Apple CEO Tim Cook as Tim Apple at a conference in the White House. ""I quickly referred to Tim + Apple as Tim/Apple...to save time and words,"" he tweeted. Apple CEO Tim Cook changed his last name on Twitter to the Apple logo after Trump's error last week.",world,"I called Apple CEO 'Tim Apple' to save time and words: Trump. US President Donald Trump on Monday defended himself for mistakenly referring to Apple CEO Tim Cook as Tim Apple at a conference in the White House. ""I quickly referred to Tim + Apple as Tim/Apple...to save time and words,"" he tweeted. Apple CEO Tim Cook changed his last name on Twitter to the Apple logo after Trump's error last week.",call apple ceo tim apple save time word trump us president donald trump monday defend mistakenly refer apple ceo tim cook tim apple conference white house quickly refer tim apple tim apple save time word tweet apple ceo tim cook change last name twitter apple logo trump error last week
Doctor uses robot to tell patient in ICU that he is dying in US,"Ernest Quintana, a 78-year-old patient admitted to a US hospital was informed of his likely death on a video call by a doctor through a robot sent to the ICU. The news of death should be delivered by a human, Quintana's daughter said. The hospital defended its move by saying the video call was a follow-up to earlier physician visits.",world,"Doctor uses robot to tell patient in ICU that he is dying in US. Ernest Quintana, a 78-year-old patient admitted to a US hospital was informed of his likely death on a video call by a doctor through a robot sent to the ICU. The news of death should be delivered by a human, Quintana's daughter said. The hospital defended its move by saying the video call was a follow-up to earlier physician visits.",doctor use robot tell patient icu die us ernest quintana year old patient admit us hospital inform likely death video call doctor robot send icu news death deliver human quintanas daughter say hospital defend move say video call follow early physician visit
Nearly 44% of votes in Estonia's election were cast online,"Nearly 44% of the votes in Estonia's 2019 parliamentary elections were cast online using the internet voting (i-voting) system. The system, introduced in Estonia in 2005, recorded over 2 lakh of over 5 lakh total votes this year. It lets users cast a vote through their internet-connected computers by using ID-card or Mobile-ID, while retaining their anonymity.",world,"Nearly 44% of votes in Estonia's election were cast online. Nearly 44% of the votes in Estonia's 2019 parliamentary elections were cast online using the internet voting (i-voting) system. The system, introduced in Estonia in 2005, recorded over 2 lakh of over 5 lakh total votes this year. It lets users cast a vote through their internet-connected computers by using ID-card or Mobile-ID, while retaining their anonymity.",nearly vote estonia election cast online nearly vote estonia parliamentary election cast online use internet voting voting system system introduce estonia record lakh lakh total vote year let user cast vote internet connect computer use id card mobile id retain anonymity
4 Indians among 157 killed in Ethiopian Airlines crash identified,"Four Indian nationals who were killed in Kenya-bound Ethiopian Airlines flight crash that killed all 157 people aboard on Sunday were identified as Vaidya Pannagesh Bhaskar, Vaidya Hansin Annagesh, Nukavarapu Manisha and Shikha Garg. External Affairs Minister Sushma Swaraj said Garg was a Consultant with Ministry of Environment and Forests. She was travelling to attend UNEP meeting in Nairobi.",world,"4 Indians among 157 killed in Ethiopian Airlines crash identified. Four Indian nationals who were killed in Kenya-bound Ethiopian Airlines flight crash that killed all 157 people aboard on Sunday were identified as Vaidya Pannagesh Bhaskar, Vaidya Hansin Annagesh, Nukavarapu Manisha and Shikha Garg. External Affairs Minister Sushma Swaraj said Garg was a Consultant with Ministry of Environment and Forests. She was travelling to attend UNEP meeting in Nairobi.",indians among kill ethiopian airline crash identify four indian national kill kenya bind ethiopian airline flight crash kill people aboard sunday identify vaidya pannagesh bhaskar vaidya hansin annagesh nukavarapu manisha shikha garg external affair minister sushma swaraj say garg consultant ministry environment forest travel attend unep meeting nairobi
"Terrorists fuelling tensions between India, Pakistan: US General","Terrorists operating out of Pakistan and Afghanistan continue to threaten Afghan stability as well as fuel tensions between Pakistan and India, US Army General Joseph Votel, head of the US Central Command, said. While the US' security assistance to Pakistan remained suspended, some military cooperation activities between the two countries continued, he added.",world,"Terrorists fuelling tensions between India, Pakistan: US General. Terrorists operating out of Pakistan and Afghanistan continue to threaten Afghan stability as well as fuel tensions between Pakistan and India, US Army General Joseph Votel, head of the US Central Command, said. While the US' security assistance to Pakistan remained suspended, some military cooperation activities between the two countries continued, he added.",terrorist fuel tension india pakistan us general terrorist operate pakistan afghanistan continue threaten afghan stability well fuel tension pakistan india us army general joseph votel head us central command say us security assistance pakistan remain suspend military cooperation activity two country continue add
Saudi Arabia Foreign Minister meets PM Modi ,Saudi Arabia's state minister for Foreign Affairs Adel bin Ahmed Al-Jubeir on Monday met PM Narendra Modi in Delhi. Jubeir's visit to India comes days after his trip to Pakistan's Islamabad. The Saudi minister's visit comes after Crown Prince Mohammed bin Salman's stand-alone visits to India and Pakistan soon after the Pulwama terror attack.,world,Saudi Arabia Foreign Minister meets PM Modi . Saudi Arabia's state minister for Foreign Affairs Adel bin Ahmed Al-Jubeir on Monday met PM Narendra Modi in Delhi. Jubeir's visit to India comes days after his trip to Pakistan's Islamabad. The Saudi minister's visit comes after Crown Prince Mohammed bin Salman's stand-alone visits to India and Pakistan soon after the Pulwama terror attack.,saudi arabia foreign minister meet pm modi saudi arabias state minister foreign affair adel bin ahmed al jubeir monday meet pm narendra modi delhi jubeir visit india come day trip pakistan islamabad saudi minister visit come crown prince mohammed bin salman stand alone visit india pakistan soon pulwama terror attack
"All 14 on board killed in Colombia plane crash, confirms agency","All 14 people were killed in a plane crash in the Colombian plains province of Meta on Saturday, the country’s civil aviation agency said. A mayor of a small town in the jungle province of Vaupes was among those killed in the crash. The aircraft's navigability permissions were up-to-date, as were the medical certifications of its crew, the agency added.
",world,"All 14 on board killed in Colombia plane crash, confirms agency. All 14 people were killed in a plane crash in the Colombian plains province of Meta on Saturday, the country’s civil aviation agency said. A mayor of a small town in the jungle province of Vaupes was among those killed in the crash. The aircraft's navigability permissions were up-to-date, as were the medical certifications of its crew, the agency added.
",board kill colombia plane crash confirm agency people kill plane crash colombian plain province meta saturday countrys civil aviation agency say mayor small town jungle province vaupe among kill crash aircraft navigability permission date medical certification crew agency add
"2 paragliders collide mid-air, fall to death in US","Two paragliders collided in mid-air above a paraglider port in the United States, falling about 75 feet to their deaths, reports said. After colliding, the two men crashed into a cliffside above a golf course, reports added. A fire-rescue team had to use a helicopter to recover the bodies because of their position on the cliff, officials said.",world,"2 paragliders collide mid-air, fall to death in US. Two paragliders collided in mid-air above a paraglider port in the United States, falling about 75 feet to their deaths, reports said. After colliding, the two men crashed into a cliffside above a golf course, reports added. A fire-rescue team had to use a helicopter to recover the bodies because of their position on the cliff, officials said.",paraglider collide mid air fall death us two paraglider collide mid air paraglider port united state fall foot death report say collide two man crash cliffside golf course report add fire rescue team use helicopter recover body position cliff official say
Man whose mom died on 2nd highest peak found dead on nearby mountain,"The body of British climber Tom Ballard, who went missing on PoK's Nanga Parbat, has been found 24 years after his mother died on the nearby K2, the world's second highest mountain. The body of his Italian climbing partner Daniele Nardi was also found. ""To have this happen the second time is...more than I can handle,"" said Tom's father.",world,"Man whose mom died on 2nd highest peak found dead on nearby mountain. The body of British climber Tom Ballard, who went missing on PoK's Nanga Parbat, has been found 24 years after his mother died on the nearby K2, the world's second highest mountain. The body of his Italian climbing partner Daniele Nardi was also found. ""To have this happen the second time is...more than I can handle,"" said Tom's father.",man whose mom die nd high peak find dead nearby mountain body british climber tom ballard go miss pok nanga parbat find year mother die nearby k world second high mountain body italian climbing partner daniele nardi also find happen second time handle say tom father
2 planes that crashed within 5 months killing 346 were of same model,"Ethiopian Airlines plane that crashed six minutes after takeoff on Sunday was a Boeing 737 Max 8, the same model as Lion Air plane that crashed 13 minutes after takeoff in Indonesia in October 2018. All 157 and 189 people were killed in the Ethiopian Airlines and Lion Air crash respectively. Boeing had introduced 737 Max 8 in May 2017.",world,"2 planes that crashed within 5 months killing 346 were of same model. Ethiopian Airlines plane that crashed six minutes after takeoff on Sunday was a Boeing 737 Max 8, the same model as Lion Air plane that crashed 13 minutes after takeoff in Indonesia in October 2018. All 157 and 189 people were killed in the Ethiopian Airlines and Lion Air crash respectively. Boeing had introduced 737 Max 8 in May 2017.",plane crash within month kill model ethiopian airline plane crash six minute takeoff sunday boeing max model lion air plane crash minute takeoff indonesia october people kill ethiopian airline lion air crash respectively boeing introduce max may
Malaysia frees woman accused of killing Kim Jong-un's half-brother,"Siti Aisyah, an Indonesian woman accused in the 2017 chemical poison murder of North Korean leader Kim Jong-un's half-brother Kim Jong-nam was freed after a Malaysian court dropped the charge. Siti and Doan Thi Huong from Vietnam were accused of smearing toxic nerve agent VX on Jong-nam's face at Kuala Lumpur airport. The court adjourned Huong's trial to Thursday.",world,"Malaysia frees woman accused of killing Kim Jong-un's half-brother. Siti Aisyah, an Indonesian woman accused in the 2017 chemical poison murder of North Korean leader Kim Jong-un's half-brother Kim Jong-nam was freed after a Malaysian court dropped the charge. Siti and Doan Thi Huong from Vietnam were accused of smearing toxic nerve agent VX on Jong-nam's face at Kuala Lumpur airport. The court adjourned Huong's trial to Thursday.",malaysia free woman accuse kill kim jong uns half brother siti aisyah indonesian woman accuse chemical poison murder north korean leader kim jong uns half brother kim jong nam free malaysian court drop charge siti doan thi huong vietnam accuse smear toxic nerve agent vx jong nams face kuala lumpur airport court adjourn huong trial thursday
Tried her husband's number: Swaraj seeks help on Indian crash victim,"External Affairs Minister Sushma Swaraj has put out an appeal on Twitter for help with contacting the family of Shikha Garg, who died in Sunday's Ethiopian Airlines crash. ""I've tried her husband's number many times. Please help me reach her family,"" Swaraj tweeted. Shikha, a UN consultant attached with the government, was among four Indians killed in the crash.",world,"Tried her husband's number: Swaraj seeks help on Indian crash victim. External Affairs Minister Sushma Swaraj has put out an appeal on Twitter for help with contacting the family of Shikha Garg, who died in Sunday's Ethiopian Airlines crash. ""I've tried her husband's number many times. Please help me reach her family,"" Swaraj tweeted. Shikha, a UN consultant attached with the government, was among four Indians killed in the crash.",try husband number swaraj seek help indian crash victim external affair minister sushma swaraj put appeal twitter help contact family shikha garg die sundays ethiopian airline crash try husband number many time please help reach family swaraj tweet shikha un consultant attach government among four indian kill crash
China grounds all its 96 Boeing 737 Max 8 jets after Ethiopia crash,China has grounded all its 96 Boeing 737 Max 8 planes in operation after a Kenya-bound model operated by Ethiopian Airlines crashed on Sunday killing 157 people. Boeing 737 Max 8 has now been involved in two crashes in last five months. Ethiopian Airlines also grounded the rest of its Boeing 737 Max 8 fleet until further notice.,world,China grounds all its 96 Boeing 737 Max 8 jets after Ethiopia crash. China has grounded all its 96 Boeing 737 Max 8 planes in operation after a Kenya-bound model operated by Ethiopian Airlines crashed on Sunday killing 157 people. Boeing 737 Max 8 has now been involved in two crashes in last five months. Ethiopian Airlines also grounded the rest of its Boeing 737 Max 8 fleet until further notice.,china ground boeing max jet ethiopia crash china ground boeing max plane operation kenya bind model operate ethiopian airline crash sunday kill people boe max involve two crash last five month ethiopian airline also ground rest boeing max fleet notice
